Country Name,ISO_A3,Minimum Distance to US Southern Border (km),Continent
Fiji,FJI,8855.430715742128,Oceania
United Republic of Tanzania,TZA,14927.942037006269,Africa
Western Sahara,SAH,9163.769363074915,Africa
Canada,CAN,1883.435074867624,North America
United States of America,USA,0.0,North America
Kazakhstan,KAZ,10894.497684388352,Asia
Uzbekistan,UZB,11851.348577626835,Asia
Papua New Guinea,PNG,11870.348933913187,Oceania
Indonesia,IDN,15072.225283536123,Asia
Argentina,ARG,7576.835800670912,South America
Chile,CHL,6992.76286344861,South America
Democratic Republic of the Congo,COD,13485.125209952987,Africa
Somalia,SOM,15214.712221383672,Africa
Kenya,KEN,14608.485030571,Africa
Sudan,SDN,13031.67255457931,Africa
Chad,TCD,12236.956274772263,Africa
Haiti,HTI,3934.7383306887814,North America
Dominican Republic,DOM,4130.6493987572885,North America
Russia,RUS,5298.605171982792,Europe
The Bahamas,BHS,3149.548730067209,North America
Falkland Islands,FLK,10417.429729254492,South America
Norway,NOR,8367.243073882786,Europe
Greenland,GRL,5516.777782193464,North America
French Southern and Antarctic Lands,ATF,18084.088515030744,Seven seas (open ocean)
East Timor,TLS,13744.57735773279,Asia
South Africa,ZAF,14986.304743360302,Africa
Lesotho,LSO,16023.705083463541,Africa
Mexico,MEX,0.0,North America
Uruguay,URY,8845.448766011445,South America
Brazil,BRA,5428.9748790022095,South America
Bolivia,BOL,6441.248787438744,South America
Peru,PER,5039.333910762765,South America
Colombia,COL,4294.495127840334,South America
Panama,PAN,3779.3393708180083,North America
Costa Rica,CRI,3434.0789219319913,North America
Nicaragua,NIC,3140.3867931875593,North America
Honduras,HND,2862.8867833171284,North America
El Salvador,SLV,2883.8817354784924,North America
Guatemala,GTM,2518.237596676185,North America
Belize,BLZ,2655.7109826386136,North America
Venezuela,VEN,4554.831453365364,South America
Guyana,GUY,5849.3789928955875,South America
Suriname,SUR,6263.474879863256,South America
France,FRA,6573.476380933923,Europe
Ecuador,ECU,4696.048949944682,South America
Puerto Rico,PRI,4617.971052366597,North America
Jamaica,JAM,3592.0293935130135,North America
Cuba,CUB,2788.0335676176624,North America
Zimbabwe,ZWE,15384.321862169356,Africa
Botswana,BWA,14998.920671148442,Africa
Namibia,NAM,14080.440469153933,Africa
Senegal,SEN,9489.747252374427,Africa
Mali,MLI,9995.801275083042,Africa
Mauritania,MRT,9183.824125044148,Africa
Benin,BEN,11417.690033913206,Africa
Niger,NER,11117.883672895705,Africa
Nigeria,NGA,11718.513942965987,Africa
Cameroon,CMR,12477.734078905489,Africa
Togo,TGO,11329.305168683639,Africa
Ghana,GHA,11054.246372705398,Africa
Ivory Coast,CIV,10638.226375875804,Africa
Guinea,GIN,9933.769531495036,Africa
Guinea-Bissau,GNB,9712.172089863037,Africa
Liberia,LBR,10527.596241964106,Africa
Sierra Leone,SLE,10234.12277474863,Africa
Burkina Faso,BFA,10826.440474806986,Africa
Central African Republic,CAF,12905.69825957815,Africa
Republic of the Congo,COG,13273.641805382456,Africa
Gabon,GAB,12866.087192235063,Africa
Equatorial Guinea,GNQ,12785.678218544586,Africa
Zambia,ZMB,14810.146246362485,Africa
Malawi,MWI,15552.9631879579,Africa
Mozambique,MOZ,15679.97350215806,Africa
eSwatini,SWZ,16270.736004323264,Africa
Angola,AGO,13414.529063843242,Africa
Burundi,BDI,14780.65587338528,Africa
Israel,ISR,12177.867915093268,Asia
Lebanon,LBN,12040.150420927166,Asia
Madagascar,MDG,17065.739762783738,Africa
Palestine,PSX,12197.258689650558,Asia
Gambia,GMB,9652.751766973599,Africa
Tunisia,TUN,10324.333970255318,Africa
Algeria,DZA,9445.957439115022,Africa
Jordan,JOR,12373.762664998098,Asia
United Arab Emirates,ARE,13582.653094275003,Asia
Qatar,QAT,13426.422073898855,Asia
Kuwait,KWT,12910.338751979065,Asia
Iraq,IRQ,12175.130068496275,Asia
Oman,OMN,14149.002026272883,Asia
Vanuatu,VUT,10140.613436082713,Oceania
Cambodia,KHM,13914.518632716243,Asia
Thailand,THA,13721.758737869919,Asia
Laos,LAO,13389.247655534484,Asia
Myanmar,MMR,13656.301515374877,Asia
Vietnam,VNM,13085.076118988396,Asia
North Korea,PRK,10278.918647996969,Asia
South Korea,KOR,10414.25924468834,Asia
Mongolia,MNG,10881.987159285325,Asia
India,IND,13914.083109522244,Asia
Bangladesh,BGD,13501.35397966781,Asia
Bhutan,BTN,13184.546441684115,Asia
Nepal,NPL,13246.873590663734,Asia
Pakistan,PAK,13181.066940297527,Asia
Afghanistan,AFG,12830.474433434427,Asia
Tajikistan,TJK,12200.178530867895,Asia
Kyrgyzstan,KGZ,12158.707832061009,Asia
Turkmenistan,TKM,11734.822751935188,Asia
Iran,IRN,11761.234176755803,Asia
Syria,SYR,12102.940611205262,Asia
Armenia,ARM,11573.133058299809,Asia
Sweden,SWE,8674.896899544934,Europe
Belarus,BLR,9712.449301950452,Europe
Ukraine,UKR,10019.284135895297,Europe
Poland,POL,9265.153795316592,Europe
Austria,AUT,9480.947690965342,Europe
Hungary,HUN,9863.387888020068,Europe
Moldova,MDA,10238.689382963119,Europe
Romania,ROU,10127.688653969983,Europe
Lithuania,LTU,9317.175132702585,Europe
Latvia,LVA,9317.175132702585,Europe
Estonia,EST,9182.391022316928,Europe
Germany,DEU,9068.904417191698,Europe
Bulgaria,BGR,10564.639391088765,Europe
Greece,GRC,10677.137608883162,Europe
Turkey,TUR,10900.15397490204,Asia
Albania,ALB,10538.090984237302,Europe
Croatia,HRV,9864.978024960781,Europe
Switzerland,CHE,9343.05185681167,Europe
Luxembourg,LUX,9090.967617461132,Europe
Belgium,BEL,8802.821185584811,Europe
Netherlands,NLD,8833.938986428559,Europe
Portugal,PRT,8791.376563005513,Europe
Spain,ESP,8554.522685726773,Europe
Ireland,IRL,8033.213929490174,Europe
New Caledonia,NCL,10693.196688414024,Oceania
Solomon Islands,SLB,10637.174594431299,Oceania
New Zealand,NZL,11900.226666965442,Oceania
Australia,AUS,15506.525577082808,Oceania
Sri Lanka,LKA,15484.215313251081,Asia
China,CHN,12154.509436919318,Asia
Taiwan,TWN,11858.389623606214,Asia
Italy,ITA,9475.90313122877,Europe
Denmark,DNK,8788.98184428617,Europe
United Kingdom,GBR,8054.735910876559,Europe
Iceland,ISL,6729.121748155023,Europe
Azerbaijan,AZE,11753.425387766227,Asia
Georgia,GEO,11215.178370272319,Asia
Philippines,PHL,13267.504739178974,Asia
Malaysia,MYS,14682.476111455751,Asia
Brunei,BRN,13797.777705248724,Asia
Slovenia,SVN,9839.401400133738,Europe
Finland,FIN,8925.189640148787,Europe
Slovakia,SVK,9765.42435664029,Europe
Czechia,CZE,9387.568438709934,Europe
Eritrea,ERI,13827.783064807061,Africa
Japan,JPN,10454.049887673023,Asia
Paraguay,PRY,7710.4909639981415,South America
Yemen,YEM,14139.256669141181,Asia
Saudi Arabia,SAU,12496.172185685218,Asia
Antarctica,ATA,11452.007282491526,Antarctica
Northern Cyprus,CYN,11731.901686064688,Asia
Cyprus,CYP,11712.618986399832,Asia
Morocco,MAR,9147.702794449584,Africa
Egypt,EGY,11763.931547027754,Africa
Libya,LBY,11042.794900859115,Africa
Ethiopia,ETH,14234.100617593544,Africa
Djibouti,DJI,14434.547908242146,Africa
Somaliland,SOL,14585.099761286216,Africa
Uganda,UGA,14658.134833303735,Africa
Rwanda,RWA,14747.910897279664,Africa
Bosnia and Herzegovina,BIH,10004.850144908429,Europe
North Macedonia,MKD,10533.503451547575,Europe
Republic of Serbia,SRB,10076.381803739207,Europe
Montenegro,MNE,10343.625676368973,Europe
Kosovo,KOS,10421.264411032225,Europe
Trinidad and Tobago,TTO,5554.611073473988,North America
South Sudan,SDS,13493.744782206068,Africa
