Country Name,ISO_A3,Minimum Distance to US Southern Border (km),Land Route Possible
Afghanistan,AFG,12830.47,False
Albania,ALB,10538.09,False
Algeria,DZA,9445.96,False
Angola,AGO,13414.53,False
Antarctica,ATA,11452.01,False
Argentina,ARG,7576.84,True
Armenia,ARM,11573.13,False
Australia,AUS,15506.53,False
Austria,AUT,9480.95,False
Azerbaijan,AZE,11753.43,False
Bangladesh,BGD,13501.35,False
Belarus,BLR,9712.45,False
Belgium,BEL,8802.82,False
Belize,BLZ,2655.71,True
Benin,BEN,11417.69,False
Bhutan,BTN,13184.55,False
Bolivia,BOL,6441.25,True
Bosnia and Herzegovina,BIH,10004.85,False
Botswana,BWA,14998.92,False
Brazil,BRA,5428.97,True
Brunei,BRN,13797.78,False
Bulgaria,BGR,10564.64,False
Burkina Faso,BFA,10826.44,False
Burundi,BDI,14780.66,False
Cambodia,KHM,13914.52,False
Cameroon,CMR,12477.73,False
Canada,CAN,1883.44,True
Central African Republic,CAF,12905.7,False
Chad,TCD,12236.96,False
Chile,CHL,6992.76,True
China,CHN,12154.51,False
Colombia,COL,4294.5,True
Costa Rica,CRI,3434.08,True
Croatia,HRV,9864.98,False
Cuba,CUB,2788.03,False
Cyprus,CYP,11712.62,False
Czechia,CZE,9387.57,False
Democratic Republic of the Congo,COD,13485.13,False
Denmark,DNK,8788.98,False
Djibouti,DJI,14434.55,False
Dominican Republic,DOM,4130.65,False
East Timor,TLS,13744.58,False
Ecuador,ECU,4696.05,True
Egypt,EGY,11763.93,False
El Salvador,SLV,2883.88,True
Equatorial Guinea,GNQ,12785.68,False
Eritrea,ERI,13827.78,False
Estonia,EST,9182.39,False
Ethiopia,ETH,14234.1,False
Falkland Islands,FLK,10417.43,False
Fiji,FJI,8855.43,False
Finland,FIN,8925.19,False
France,FRA,6573.48,False
French Southern and Antarctic Lands,ATF,18084.09,False
Gabon,GAB,12866.09,False
Gambia,GMB,9652.75,False
Georgia,GEO,11215.18,False
Germany,DEU,9068.9,False
Ghana,GHA,11054.25,False
Greece,GRC,10677.14,False
Greenland,GRL,5516.78,False
Guatemala,GTM,2518.24,True
Guinea,GIN,9933.77,False
Guinea-Bissau,GNB,9712.17,False
Guyana,GUY,5849.38,True
Haiti,HTI,3934.74,False
Honduras,HND,2862.89,True
Hungary,HUN,9863.39,False
Iceland,ISL,6729.12,False
India,IND,13914.08,False
