"date","num_nodes","total_hash_rate"
2023-01-31 12:58:17,7236,33053
2023-02-28 12:12:09,7627,41881
2023-03-31 12:30:08,7854,36360
2023-04-30 12:45:51,7792,55028
2023-05-31 12:00:50,7716,48912
2023-06-30 12:16:04,7359,40280
2023-07-31 12:32:55,7537,60659
2023-08-31 12:47:40,7413,71229
2023-09-30 12:03:01,6965,31933
2023-10-31 12:20:59,7206,83108
2023-11-30 12:35:26,7323,33331
2023-12-17 12:45:09,7376,39474
2024-04-30 12:56:04,9083,67783
2024-05-31 12:12:50,8571,46822
2024-06-30 12:27:34,8335,29634
2024-07-31 12:01:02,8532,37171
2024-08-31 12:17:14,8470,44346
2024-09-30 12:31:46,8291,101851
2024-10-31 12:47:02,8487,38534
2024-11-30 12:21:46,19982,55633
2024-12-31 12:50:44,21431,46811
