date,arrivals_mainland_land
2017-01-31,331
2017-02-28,1201
2017-03-31,355
2017-04-30,298
2017-05-31,473
2017-06-30,332
2017-07-31,423
2017-08-31,845
2017-09-30,524
2017-10-31,485
2017-11-30,514
2017-12-31,465
2018-01-31,782
2018-02-28,416
2018-03-31,417
2018-04-30,448
2018-05-31,414
2018-06-30,397
2018-07-31,1085
2018-08-31,616
2018-09-30,454
2018-10-31,669
2018-11-30,644
2018-12-31,472
2019-01-31,508
2019-02-28,430
2019-03-31,426
2019-04-30,432
2019-05-31,613
2019-06-30,379
2019-07-31,538
2019-08-31,542
2019-09-30,674
2019-10-31,511
2019-11-30,676
2019-12-31,616
2020-01-31,540
2020-02-29,446
2020-03-31,154
2020-04-30,89
2020-05-31,23
2020-06-30,64
2020-07-31,43
2020-08-31,32
2020-09-30,4
2020-10-31,39
2020-11-30,16
2020-12-31,85
2021-01-31,109
2021-02-28,20
2021-03-31,111
2021-04-30,6
2021-05-31,172
2021-06-30,18
2021-07-31,446
2021-08-31,126
2021-09-30,37
2021-10-31,23
2021-11-30,70
2021-12-31,80
2022-01-31,56
2022-02-28,38
2022-03-31,974
2022-04-30,140
2022-05-31,82
2022-06-30,209
2022-07-31,53
2022-08-31,66
2022-09-30,61
2022-10-31,53
2022-11-30,49
2022-12-31,87
2023-01-31,43
2023-02-28,50
2023-03-31,41
2023-04-30,49
2023-05-31,49
2023-06-30,57
2023-07-31,31
2023-08-31,68
2023-09-30,13
2023-10-31,36
2023-11-30,15
2023-12-31,15
2024-01-31,34
2024-02-29,51
2024-03-31,46
2024-04-30,30
2024-05-31,34
2024-06-30,17
2024-07-31,48
2024-08-31,46
2024-09-30,28
2024-10-31,59
2024-11-30,34
2024-12-31,49
2025-01-31,27
2025-02-28,37
2025-03-31,88
2025-04-30,43
2025-05-31,55
2025-06-30,69
